Classifier,Best CV score,Accuracy on test set
KNeighborsClassifier,0.8699999999999999,0.8571428571428571
DecisionTreeClassifier,0.8494736842105264,0.8163265306122449
RandomForestClassifier,0.8600000000000001,0.8775510204081632
SVC,0.8800000000000001,0.8163265306122449
GaussianNB,0.708421052631579,0.7142857142857143
XGBClassifier,0.8894736842105264,0.8367346938775511
GradientBoostingClassifier,0.8894736842105264,0.8775510204081632
