Composition,Density,EquiTibrium conditions,Single/Muplitple_Phase,PhaseType,Reference,Tension0/Compression1,TestTempC,YieldStr(MPa),YieldStr(MPa)/density,Ductility (%),Hardness (HV)
HfNbSi0.5TiV,7.8,AC,M,BCC+M5Si3,32,1,25,1399,179.3,4.37,490
HfNbSi0.5TiV,7.8,AC,M,BCC+M5Si3,32,1,1000,240,30.8,,
HfNbSi0.5TiV,7.8,AC,M,BCC+M5Si3,32,1,800,875,112.2,,
HfNbSi0.5TiVZr,7.5,AC,M,BCC+laves+M5Si3,33,1,25,1540,204.9,3.99,464
HfNbSi0.5TiVZr,7.5,A,M,BCC+Laves+M5Si3,33,1,25,1483,197.4,2.36,496
HfNbSi0.5TiVZr,7.5,AC,M,BCC+laves+M5Si3,33,1,800,371,49.4,,
HfNbSi0.5TiVZr,7.5,A,M,BCC+Laves+M5Si3,33,1,800,102,13.6,,
HfNbSi0.5TiVZr,7.5,AC,M,BCC+Laves+M5Si3,33,1,600,920,122.4,37.77,
HfNbSi0.5TiVZr,7.5,A,M,BCC+laves+M5Si3,33,1,600,597,79.4,,
HfNbSi0.5TiVZr,7.5,A,M,BCC+Laves+M5Si3,33,1,400,1273,169.4,5.46,
HfNbTaTiZr,9.9,SPD+A,M,BCC+HCP,34,0,25,1520,153.6,0.09,534.7
HfNbTaTiZr,9.9,SPD+A,M,2 BCC+HCP,34,0,25,795,80.4,3.81,347.7
HfNbTaTiZr,9.9,SPD,s,BCC,34,0,25,1900,192,6.19,419.4
HfNbTaTiZr,9.9,CR+A,s,BCC,34,0,25,830,83.9,7.92,309
HfNbTaTiZr,9.9,CR+A,M,2 BCC,35,0,25,1303,131.7,0.23,375
HfNbTaTiZr,9.9,CR,s,BCC,35,0,25,1202,121.5,1.89,366
HfNbTaTiZr,9.9,CR+A,s,BCC,35,0,25,1145,115.7,9.1,351
HfNbTaTiZr,9.9,CR+A,s,BCC,36,0,25,958,96.8,10.68,
HfNbTaTiZr,9.9,CR+A,s,BCC,36,0,25,944,95.4,8.74,
HfNbTaTiZr,9.9,CR+A,s,BCC,36,0,25,940,95,6.69,
HfNbTaTiZr,9.9,CR+A,s,BCC,37,0,25,940,95,15.47,
HfNbTaTiZr,9.9,HIP+A,s,BCC,38,1,25,929,93.9,35.61,390.1
HfNbTaTiZr,9.9,AC,s,BCC,39,1,25,905,91.5,,
HfNbTaTiZr,9.9,AC,s,BCC,40,1,25,890,90,,375.7
HfNbTaTiZr,9.9,AC,s,BCC,41,0,25,828,83.7,7.46,
HfNbTaTiZr,9.9,AC,s,BCC,41,0,25,827,83.6,9.29,
HfNbTaTiZr,9.9,AC,s,BCC,41,0,25,820,82.9,5.66,
HfNbTaTiZr,9.9,AC,s,BCC,41,0,25,803,81.2,9.17,
HfNbTaTiZr,9.9,HIP+A,s,BCC,42,1,1200,92,9.3,48.51,
HfNbTaTiZr,9.9,HIP+A,s,BCC,42,1,1000,295,29.8,46.79,
HfNbTaTiZr,9.9,HIP+A,s,BCC,42,1,800,550,55.6,32.92,
HfNbTaTiZr,9.9,HIP+A,s,BCC,42,1,800,543,54.8,32.9,
HfNbTaTiZr,9.9,HIP+A,s,BCC,42,1,800,535,54.1,38.08,
HfNbTaTiZr,9.9,HIP+A,s,BCC,42,1,800,475,48,35.66,
HfNbTaTiZr,9.9,HIP+A,s,BCC,42,1,800,285,28.8,28.52,
HfNbTaTiZr,9.9,HIP+A,s,BCC,42,1,600,675,68.2,38.51,
HfNbTaTiZr,9.9,HIP+A,s,BCC,42,1,400,790,79.8,,
HfNbTaTiZr,9.9,HIP+A,s,BCC,42,1,25,929,93.8,33.25,
HfNbTaZr,11.1,A,M,BCC+HCP,43,1,25,2310,208.8,2.66,569.9
HfNbTaZr,11.1,A,M,BCC+HCP,43,1,25,2100,189.8,8.46,535.5
HfNbTaZr,11.1,A,M,BCC+HCP,43,1,25,1995,182.6,3.56,550.5
HfNbTaZr,11.1,A,M,BCC+HCP,43,1,25,1740,176.3,5.38,495.2
HfNbTaZr,11.1,AC,s,BCC,43,1,25,1315,118.9,29.62,363.6
HfNbTiZr,8.4,A,s,BCC,44,0,25,879,104.8,17.29,
HfTa0.4TiZr,9.2,AC,M,BCC+HCP,45,0,25,400,43.5,28.53,
HfTa0.5TiZr,9.4,AC,M,BCC+HCP,45,0,25,700,74.7,27.31,
HfTa0.6TiZr,9.6,AC,M,BCC+HCP,45,0,25,800,83.7,20.02,
HfTaTiZr,10.2,AC,s,BCC,45,0,25,1500,147.3,2.24,
Mo0.1NbTiV0.3Zr,6.6,AC,s,BCC,46,1,25,932,141.2,43.8,
Mo0.3NbTiV0.3Zr,6.8,AC,s,BCC,46,1,25,1312,193.9,49.34,
Mo0.3NbTiVZr,6.7,AC,s,BCC,46,1,25,1289,192.8,3.71,
Mo0.5NbTiV0.3Zr,6.9,AC,s,BCC,46,1,25,1301,188,42.78,
Mo0.5NbTiVZr,6.8,AC,s,BCC,46,1,25,1473,215.9,34.62,
Mo0.7NbTiV0.3Zr,7.1,AC,s,BCC,46,1,25,1436,203.4,25.84,
Mo0.7NbTiVZr,7,AC,s,BCC,46,1,25,1706,245.5,30.3,
Mo1.3NbTiV0.3Zr,7.4,AC,s,BCC,46,1,25,1603,216.2,19.57,
Mo1.3NbTiVZr,7.3,AC,s,BCC,46,1,25,1496,205.5,31.28,
Mo1.5NbTiV0.3Zr,7.5,AC,s,BCC,46,1,25,1576,209.7,8.03,
Mo1.5NbTiVZr,7.4,AC,M,2 BCC,46,1,25,1603,217.3,18.2,
Mo1.7NbTiVZr,7.5,AC,M,2 BCC,46,1,25,1645,220.4,15.93,
Mo2NbTiVZr,7.6,AC,M,2 BCC,46,1,25,1765,232.6,12.72,
MoNbTiV0.3Zr,7.2,AC,S,BCC,46,1,25,1455,200.8,24.76,
MoNbTiVZr,7.1,AC,S,BCC,46,1,25,1779,249.7,29.21,
NbTiV0.3Zr,6.5,AC,s,BCC,46,1,25,866,133,44.29,
NbTiVZr,6.5,AC,s,BCC,46,1,25,1104,170.9,49.05,
MoNbTaTi0.25W,13.1,AC,s,BCC,47,1,25,1109,84.7,2.51,
MoNbTaTi0.5W,12.6,AC,s,BCC,47,1,25,1211,96.1,5.92,
MoNbTaTi0.75W,12.2,AC,s,BCC,47,1,25,1304,107.3,8.4,
MoNbTaTiW,11.8,AC,s,BCC,47,1,25,1455,123.8,11.5,
MoNbTaW,13.7,AC,s,BCC,47,1,25,996,72.9,1.9,
MoNbTaTiV,9.4,AC,s,BCC,48,1,25,1400,149.4,32.32,
MoNbTaTiVW,11,AC,s,BCC,49,1,25,1515,138.1,13.35,510.3
MoNbTaTiVW,11,AC,s,BCC,49,1,1200,659,60.1,8.45,
MoNbTaTiVW,11,AC,s,BCC,49,1,1000,752.8,68.6,23.13,
MoNbTaTiVW,11,AC,s,BCC,49,1,800,791.3,72.1,8.69,
MoNbTaTiVW,11,AC,s,BCC,49,1,600,973,88.7,17.93,
MoNbTaTiW,11.8,AC,s,BCC,49,1,25,1343,114.2,16.41,498.7
MoNbTaTiW,11.8,AC,s,BCC,49,1,1200,586,49.8,9.65,
MoNbTaTiW,11.8,AC,s,BCC,49,1,1000,620,52.7,33.54,
MoNbTaTiW,11.8,AC,s,BCC,49,1,800,674,57.3,45.23,
MoNbTaTiW,11.8,AC,s,BCC,49,1,600,689,58.6,31.69,
MoNbTaTiZr,9.1,AC,M,2 BCC,50,1,25,1390,152.2,7.07,499.6
MoNbTaTiZr,9.1,AC,M,2 BCC,51,1,25,1375,150.5,4.67,
MoNbTaTiZr,9.1,A,M,2 BCC,51,1,25,1100,120.4,7.51,
MoNbTaV,10.7,AC,s,BCC,52,1,25,1525,142.7,20.73,504.4
MoNbTaVW,12.4,SPS,s,BCC,53,1,25,2612,211,8.84,
MoNbTaVW,12.4,HIP+A,s,BCC,54,1,25,1246,100.7,1.51,552.7
MoNbTaVW,12.4,HIP+A,s,BCC,54,1,1600,477,38.5,13.45,
MoNbTaVW,12.4,HIP+A,s,BCC,54,1,1400,656,53,18.5,
MoNbTaVW,12.4,HIP+A,s,BCC,54,1,1200,735,59.4,6.93,
MoNbTaVW,12.4,HIP+A,s,BCC,54,1,1000,842,68,17.64,
MoNbTaVW,12.4,HIP+A,s,BCC,54,1,800,846,68.4,16.35,
MoNbTaVW,12.4,HIP+A,s,BCC,54,1,600,862,69.6,11.86,
MoNbTaW,13.7,HIP+A,s,BCC,54,1,25,1058,77.5,1.96,454.8
MoNbTaW,13.7,HIP+A,s,BCC,54,1,1600,405,29.6,22.5,
MoNbTaW,13.7,HIP+A,S,BCC,54,1,1400,421,30.8,,
MoNbTaW,13.7,HIP+A,s,BCC,54,1,1200,506,37,22.43,
MoNbTaW,13.7,HIP+A,S,BCC,54,1,1000,548,40.1,22.24,
MoNbTaW,13.7,HIP+A,s,BCC,54,1,800,552,40.4,22.33,
MoNbTaW,13.7,HIP+A,s,BCC,54,1,600,561,41.1,22.29,
MoNbTiV0.25Zr,7.3,AC,s,BCC,55,1,25,1750,241.2,17.7,
MoNbTiV0.5Zr,7.2,AC,s,BCC,55,1,25,1640,227.5,15.99,
MoNbTiV0.75Zr,7.2,AC,S,BCC,55,1,25,1680,234.5,13.46,
MoNbTiV1.5Zr,7.1,AC,M,2 BCC,55,1,25,1720,243.9,11.37,
MoNbTiV2Zr,7,AC,M,2 BCC,55,1,25,1520,217.5,13.52,
MoNbTiV3Zr,6.9,AC,M,2 BCC,55,1,25,1415,205.5,13.21,
MoNbTiVZr,7.1,AC,S,BCC,55,1,25,1770,248.5,15.2,
MoNbTiZr,7.3,AC,S,BCC,55,1,25,1560,213.4,18.9,
NbTaTiV,9.2,AC,S,BCC,56,1,25,965,105.2,46.66,317.4
NbTaTiVW,11.1,AC,s,BCC,56,1,25,1420,127.9,18.76,446.6
NbTaVW,12.9,AC,S,BCC,56,1,25,1530,118.7,11.11,492.5
